method_id,project,file_path,startline,endline,method_loc,srp,ocp,dip,clone_type,method_source
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/api/AssertDoesNotThrowAssertionsTests.java:178-190,junit5,test/java/org/junit/jupiter/api/AssertDoesNotThrowAssertionsTests.java,178,190,13.0,2,2,2,T3,"void assertDoesNotThrowWithExecutableThatThrowsAnExceptionWithMessageWithMessageString () {
    String message = ""Runtime exception message"";
    try {
        assertDoesNotThrow ((Executable) () -> {
            throw new IllegalStateException (message);
        }, ""Custom message"");
        expectAssertionFailedError ();
    } catch (AssertionFailedError ex) {
        assertMessageEquals (ex, ""Custom message ==> Unexpected exception thrown: "" + IllegalStateException.class.getName () + "": "" + message);
    }
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/conversion/impl/StringConverterTest.java:66-88,struts,test/java/org/apache/struts2/conversion/impl/StringConverterTest.java,66,88,23.0,2,2,1,T3,"public void testFloatToStringConversionPL () throws Exception {
    StringConverter converter = new StringConverter ();
    Map < String, Object > context = createContextWithLocale (new Locale (""pl"", ""PL""));
    Object value = converter.convertValue (context, null, null, null, Float.MIN_VALUE, null);
    assertEquals (""0,"" + StringUtils.repeat ('0', 44) + ""14"", value);
    value = converter.convertValue (context, null, null, null, Float.MAX_VALUE, null);
    assertEquals (""34028235"" + StringUtils.repeat ('0', 31), value);
    value = converter.convertValue (context, null, null, null, 0.1f, null);
    assertEquals (""0,1"", value);
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/interceptor/CheckboxInterceptorTest.java:63-73,struts,test/java/org/apache/struts2/interceptor/CheckboxInterceptorTest.java,63,73,11.0,2,2,2,T3,"public void testPassthroughOne () throws Exception {
    param.put (""user"", ""batman"");
    prepare (ai);
    interceptor.init ();
    interceptor.intercept (ai);
    interceptor.destroy ();
    assertEquals (1, ai.getInvocationContext ().getParameters ().keySet ().size ());
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/IfTagTest.java:476-526,struts,test/java/org/apache/struts2/views/jsp/IfTagTest.java,476,526,51.0,2,2,1,T3,"public void testIfElseIf () throws Exception {
    IfTag ifTag = new IfTag ();
    ifTag.setPageContext (pageContext);
    ifTag.setTest (""false"");
    ElseIfTag elseIfTag1 = new ElseIfTag ();
    elseIfTag1.setPageContext (pageContext);
    elseIfTag1.setTest (""false"");
    ElseIfTag elseIfTag2 = new ElseIfTag ();
    elseIfTag2.setPageContext (pageContext);
    elseIfTag2.setTest (""true"");
    ElseIfTag elseIfTag3 = new ElseIfTag ();
    elseIfTag3.setPageContext (pageContext);
    elseIfTag3.setTest (""true"");
    int r1 = ifTag.doStartTag ();
    ifTag.doEndTag ();
    int r2 = elseIfTag1.doStartTag ();
    elseIfTag1.doEndTag ();
    int r3 = elseIfTag2.doStartTag ();
    elseIfTag2.doEndTag ();
    int r4 = elseIfTag3.doStartTag ();
    elseIfTag3.doEndTag ();
    assertEquals (TagSupport.SKIP_BODY, r1);
    assertEquals (TagSupport.SKIP_BODY, r2);
    assertEquals (TagSupport.EVAL_BODY_INCLUDE, r3);
    assertEquals (TagSupport.SKIP_BODY, r4);
    IfTag freshTag = new IfTag ();
    freshTag.setPageContext (pageContext);
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", objectsAreReflectionEqual (ifTag, freshTag));
    ElseIfTag freshTag2 = new ElseIfTag ();
    freshTag2.setPageContext (pageContext);
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", objectsAreReflectionEqual (elseIfTag1, freshTag2));
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", objectsAreReflectionEqual (elseIfTag2, freshTag2));
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", objectsAreReflectionEqual (elseIfTag3, freshTag2));
}"
systems/Projects/junit5-main/junit-platform-suite-commons/src/main/java/org/junit/platform/suite/commons/AdditionalDiscoverySelectors.java:48-58,junit5,main/java/org/junit/platform/suite/commons/AdditionalDiscoverySelectors.java,48,58,11.0,2,2,2,T3,"static List < DirectorySelector > selectDirectories (String...paths) {
    Preconditions.notNull (paths, ""Directory paths must not be null"");
    Preconditions.containsNoNullElements (paths, ""Individual directory paths must not be null"");
    return uniqueStreamOf (paths).filter (StringUtils :: isNotBlank).map (DiscoverySelectors :: selectDirectory).collect (Collectors.toList ());
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/persister/entity/mutation/DeleteCoordinatorStandard.java:118-137,hibernate-orm,main/java/org/hibernate/persister/entity/mutation/DeleteCoordinatorStandard.java,118,137,20.0,2,2,2,T3,"protected void applyNonVersionOptLocking (OptimisticLockStyle lockStyle, MutationGroupBuilder mutationGroupBuilder, Object [] loadedState, SharedSessionContractImplementor session) {
    final EntityPersister persister = entityPersister ();
    assert loadedState != null;
    assert lockStyle.isAllOrDirty ();
    assert persister.optimisticLockStyle ().isAllOrDirty ();
    assert session != null;
    final boolean [] versionability = persister.getPropertyVersionability ();
    for (int attributeIndex = 0; attributeIndex < versionability.length; attributeIndex ++) {
        final AttributeMapping attribute;
        if (versionability [attributeIndex] && ! (attribute = persister.getAttributeMapping (attributeIndex)).isPluralAttributeMapping ()) {
            breakDownJdbcValues (mutationGroupBuilder, session, attribute, loadedState [attributeIndex]);
        }
    }
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/tool/schema/spi/SchemaManagementToolCoordinator.java:688-708,hibernate-orm,main/java/org/hibernate/tool/schema/spi/SchemaManagementToolCoordinator.java,688,708,21.0,2,2,2,T3,"public static Action determineJpaScriptActionSetting (Map < ?, ? > configurationValues, String contributor, Action defaultValue) {
    final String jakartaSettingName = contributor == null ? JAKARTA_HBM2DDL_SCRIPTS_ACTION : JAKARTA_HBM2DDL_SCRIPTS_ACTION + ""."" + contributor;
    final String javaxSettingName = contributor == null ? HBM2DDL_SCRIPTS_ACTION : HBM2DDL_SCRIPTS_ACTION + ""."" + contributor;
    Object scriptsActionSetting = configurationValues.get (jakartaSettingName);
    if (scriptsActionSetting == null) {
        scriptsActionSetting = configurationValues.get (javaxSettingName);
        if (scriptsActionSetting != null) {
            DEPRECATION_LOGGER.deprecatedSetting (HBM2DDL_SCRIPTS_ACTION, JAKARTA_HBM2DDL_SCRIPTS_ACTION);
        }
    }
    return scriptsActionSetting == null ? defaultValue : Action.interpretJpaSetting (scriptsActionSetting);
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/interceptor/DefaultWorkflowInterceptorTest.java:173-195,struts,test/java/org/apache/struts2/interceptor/DefaultWorkflowInterceptorTest.java,173,195,23.0,2,2,1,T3,"protected void setUp () throws Exception {
    super.setUp ();
    ActionConfig config = new ActionConfig.Builder ("""", ""name"", """").build ();
    Action action = EasyMock.createNiceMock (ValidateAction.class);
    invocation = EasyMock.createNiceMock (ActionInvocation.class);
    interceptor = new DefaultWorkflowInterceptor ();
    ActionProxy proxy = EasyMock.createNiceMock (ActionProxy.class);
    EasyMock.expect (invocation.getProxy ()).andReturn (proxy).anyTimes ();
    EasyMock.expect (invocation.getAction ()).andReturn (action).anyTimes ();
    EasyMock.expect (invocation.invoke ()).andAnswer (() -> result).anyTimes ();
    EasyMock.expect (proxy.getConfig ()).andReturn (config).anyTimes ();
    EasyMock.expect (proxy.getMethod ()).andReturn (""execute"").anyTimes ();
    EasyMock.replay (invocation);
    EasyMock.replay (action);
    EasyMock.replay (proxy);
    ActionContext.of ().withActionInvocation (invocation).bind ();
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/LabelTest.java:83-105,struts,test/java/org/apache/struts2/views/jsp/ui/LabelTest.java,83,105,23.0,1,2,1,T3,"public void testSimpleWithLabelPosition () throws Exception {
    TestAction testAction = (TestAction) action;
    testAction.setFoo (""bar"");
    LabelTag tag = new LabelTag ();
    tag.setPageContext (pageContext);
    tag.setLabel (""mylabel"");
    tag.setName (""myname"");
    tag.setValue (""%{foo}"");
    tag.setLabelPosition (""top"");
    tag.doStartTag ();
    tag.doEndTag ();
    verify (LabelTest.class.getResource (""Label-3.txt""));
    LabelTag freshTag = new LabelTag ();
    freshTag.setPageContext (pageContext);
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", strutsBodyTagsAreReflectionEqual (tag, freshTag));
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/AnyKeyPart.java:59-90,hibernate-orm,main/java/org/hibernate/metamodel/mapping/internal/AnyKeyPart.java,59,90,32.0,2,2,2,T3,"public AnyKeyPart (NavigableRole navigableRole, DiscriminatedAssociationModelPart anyPart, String table, String column, String customReadExpression, String customWriteExpression, String columnDefinition, Long length, Integer precision, Integer scale, boolean nullable, boolean insertable, boolean updateable, boolean partitioned, JdbcMapping jdbcMapping) {
    this.navigableRole = navigableRole;
    this.table = table;
    this.column = column;
    this.anyPart = anyPart;
    this.customReadExpression = customReadExpression;
    this.customWriteExpression = customWriteExpression;
    this.columnDefinition = columnDefinition;
    this.length = length;
    this.precision = precision;
    this.scale = scale;
    this.nullable = nullable;
    this.insertable = insertable;
    this.updateable = updateable;
    this.partitioned = partitioned;
    this.jdbcMapping = jdbcMapping;
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/DateTagTest.java:976-995,struts,test/java/org/apache/struts2/views/jsp/ui/DateTagTest.java,976,995,20.0,1,2,1,T3,"public void testNewJava8Format () throws Exception {
    String format = ""EEEE MMMM dd, hh:mm a"";
    LocalDateTime now = LocalDateTime.now ();
    String formatted = DateTimeFormatter.ofPattern (format, ActionContext.getContext ().getLocale ()).format (now);
    context.put (""myDate"", now);
    tag.setName (""myDate"");
    tag.setNice (false);
    tag.setFormat (format);
    tag.doStartTag ();
    tag.doEndTag ();
    assertEquals (formatted, writer.toString ());
    DateTag freshTag = new DateTag ();
    freshTag.setPageContext (pageContext);
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", strutsBodyTagsAreReflectionEqual (tag, freshTag));
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/pretty/MessageHelper.java:117-140,hibernate-orm,main/java/org/hibernate/pretty/MessageHelper.java,117,140,24.0,2,2,2,T3,"public static String infoString (@Nullable
EntityPersister persister,@Nullable
Object id, Type identifierType, SessionFactoryImplementor factory) {
    final StringBuilder info = new StringBuilder ();
    info.append ('[');
    if (persister == null) {
        info.append (""unknown entity"");
    }
    else {
        info.append (persister.getEntityName ());
    }
    if (id == null) {
        info.append ("" with null id"");
    }
    else {
        info.append ("" with id '"").append (identifierType.toLoggableString (id, factory)).append (""'"");
    }
    info.append (']');
    return info.toString ();
}"
systems/Projects/struts-main/plugins/tiles/src/test/java/org/apache/tiles/ognl/NestedObjectDelegatePropertyAccessorTest.java:41-52,struts,test/java/org/apache/tiles/ognl/NestedObjectDelegatePropertyAccessorTest.java,41,52,12.0,2,2,1,T3,"public void testGetProperty () throws OgnlException {
    NestedObjectExtractor < Integer > nestedObjectExtractor = createMock (NestedObjectExtractor.class);
    PropertyAccessor propertyAccessor = createMock (PropertyAccessor.class);
    Map < String, Object > context = createMock (Map.class);
    expect (propertyAccessor.getProperty (context, ""nested"", ""property"")).andReturn (""value"");
    expect (nestedObjectExtractor.getNestedObject (1)).andReturn (""nested"");
    replay (nestedObjectExtractor, propertyAccessor, context);
    PropertyAccessor accessor = new NestedObjectDelegatePropertyAccessor < > (nestedObjectExtractor, propertyAccessor);
    assertEquals (""value"", accessor.getProperty (context, 1, ""property""));
    verify (nestedObjectExtractor, propertyAccessor, context);
}"
systems/Projects/junit5-main/jupiter-tests/src/test/java/org/junit/jupiter/engine/TestTemplateInvocationTests.java:173-191,junit5,test/java/org/junit/jupiter/engine/TestTemplateInvocationTests.java,173,191,19.0,2,2,2,T3,"void templateWithTwoInvocationsFromSingleExtensionIsInvoked () {
    LauncherDiscoveryRequest request = request ().selectors (selectMethod (MyTestTemplateTestCase.class, ""templateWithTwoInvocationsFromSingleExtension"")).build ();
    EngineExecutionResults executionResults = executeTests (request);
    executionResults.allEvents ().assertEventsMatchExactly (wrappedInContainerEvents (MyTestTemplateTestCase.class, event (container (""templateWithTwoInvocationsFromSingleExtension""), started ()), event (dynamicTestRegistered (""test-template-invocation:#1""), displayName (""[1]"")), event (test (""test-template-invocation:#1""), started ()), event (test (""test-template-invocation:#1""), finishedWithFailure (message (""invocation is expected to fail""))), event (dynamicTestRegistered (""test-template-invocation:#2""), displayName (""[2]"")), event (test (""test-template-invocation:#2""), started ()), event (test (""test-template-invocation:#2""), finishedWithFailure (message (""invocation is expected to fail""))), event (container (""templateWithTwoInvocationsFromSingleExtension""), finishedSuccessfully ())));
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/text/DefaultTextProviderTest.java:53-73,struts,test/java/org/apache/struts2/text/DefaultTextProviderTest.java,53,73,21.0,2,2,2,T3,"public void testGetTextsWithListArgs () {
    List < Object > args = new ArrayList < > ();
    args.add (""Santa"");
    args.add (""loud"");
    assertEquals (""Hello World"", tp.getText (""hello"", ""this is default"", args));
    assertEquals (""Hello World Santa"", tp.getText (""hello.0"", ""this is default"", args));
    assertEquals (""Hello World. This is Santa speaking loud"", tp.getText (""hello.1"", ""this is default"", args));
    assertEquals (""this is default"", tp.getText (""not.in.bundle"", ""this is default"", args));
    assertEquals (""this is default Santa"", tp.getText (""not.in.bundle"", ""this is default {0}"", args));
    assertEquals (""this is default Santa speaking loud"", tp.getText (""not.in.bundle"", ""this is default {0} speaking {1}"", args));
    assertEquals (""Hello World"", tp.getText (""hello"", args));
    assertEquals (""Hello World Santa"", tp.getText (""hello.0"", args));
    assertEquals (""Hello World. This is Santa speaking loud"", tp.getText (""hello.1"", args));
    assertNull (tp.getText (""not.in.bundle"", args));
    assertEquals (""Hello World"", tp.getText (""hello"", ""this is default"", (List) null));
    assertEquals (""this is default"", tp.getText (""not.in.bundle"", ""this is default"", (List) null));
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/SubmitTest.java:513-537,struts,test/java/org/apache/struts2/views/jsp/ui/SubmitTest.java,513,537,25.0,1,2,0,T3,"public void testSimpleThemeImageUsingMethodOnly () throws Exception {
    TestAction testAction = (TestAction) action;
    testAction.setFoo (""bar"");
    SubmitTag tag = new SubmitTag ();
    tag.setPageContext (pageContext);
    tag.setTheme (""simple"");
    tag.setType (""button"");
    tag.setName (""myname"");
    tag.setLabel (""mylabel"");
    tag.setAction (null);
    tag.setMethod (""update"");
    tag.doStartTag ();
    tag.doEndTag ();
    verify (TextFieldTag.class.getResource (""Submit-9.txt""));
    SubmitTag freshTag = new SubmitTag ();
    freshTag.setPageContext (pageContext);
    assertFalse (""Tag state after doEndTag() under default tag clear state is equal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", strutsBodyTagsAreReflectionEqual (tag, freshTag));
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/components/UIComponentTest.java:52-72,struts,test/java/org/apache/struts2/components/UIComponentTest.java,52,72,21.0,2,2,1,T3,"public void testActionErrorComponentDisposeItselfFromComponentStack () throws Exception {
    ActionMessageTag t = new ActionMessageTag ();
    t.setPageContext (pageContext);
    try {
        t.doStartTag ();
        ActionErrorTag tag = new ActionErrorTag ();
        tag.setPageContext (pageContext);
        tag.doStartTag ();
        assertEquals (tag.getComponent ().getComponentStack ().peek (), tag.getComponent ());
        tag.doEndTag ();
        assertEquals (t.getComponent ().getComponentStack ().peek (), t.getComponent ());
        t.doEndTag ();
    } catch (Exception e) {
        e.printStackTrace ();
        fail (e.toString ());
    }
}"
systems/Projects/junit5-main/platform-tests/src/test/java/org/junit/platform/commons/util/AnnotationUtilsTests.java:528-544,junit5,test/java/org/junit/platform/commons/util/AnnotationUtilsTests.java,528,544,17.0,2,2,2,T3,"void findAnnotatedFieldsDoesNotAllowInstanceFieldToHideStaticField () throws Exception {
    final String TEMP_DIR = ""tempDir"";
    Class < ? > superclass = SuperclassWithStaticPackagePrivateTempDirField.class;
    Field staticField = superclass.getDeclaredField (TEMP_DIR);
    Class < ? > subclass = SubclassWithNonStaticPackagePrivateTempDirField.class;
    Field nonStaticField = subclass.getDeclaredField (TEMP_DIR);
    var fields = findAnnotatedFields (superclass, ClassLevelDir.class, field -> true);
    assertThat (fields).containsExactly (staticField);
    fields = findAnnotatedFields (subclass, ClassLevelDir.class, field -> true);
    assertThat (fields).containsExactly (staticField);
    fields = findAnnotatedFields (subclass, InstanceLevelDir.class, field -> true);
    assertThat (fields).containsExactly (nonStaticField);
}"
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/dispatcher/listener/StrutsListener.java:37-52,struts,main/java/org/apache/struts2/dispatcher/listener/StrutsListener.java,37,52,16.0,1,2,0,T3,"public void contextInitialized (ServletContextEvent sce) {
    InitOperations init = new InitOperations ();
    Dispatcher dispatcher = null;
    try {
        ListenerHostConfig config = new ListenerHostConfig (sce.getServletContext ());
        dispatcher = init.initDispatcher (config);
        init.initStaticContentLoader (config, dispatcher);
        prepare = new PrepareOperations (dispatcher);
    } finally {
        if (dispatcher != null) {
            dispatcher.cleanUpAfterInit ();
        }
        init.cleanup ();
    }
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/engine/jdbc/connections/internal/BasicConnectionCreator.java:37-50,hibernate-orm,main/java/org/hibernate/engine/jdbc/connections/internal/BasicConnectionCreator.java,37,50,14.0,2,2,2,T3,"public BasicConnectionCreator (ServiceRegistryImplementor serviceRegistry, String url, Properties connectionProps, boolean autocommit, Integer isolation, String initSql) {
    this.serviceRegistry = serviceRegistry;
    this.url = url;
    this.connectionProps = connectionProps;
    this.autoCommit = autocommit;
    this.isolation = isolation;
    this.initSql = initSql;
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java:261-271,struts,test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java,261,271,11.0,2,2,1,T3,"public void testGetUri () {
    req.setParameters (new HashMap ());
    req.setRequestURI (""/my/namespace/actionName.action"");
    req.setServletPath (""/my/namespace/actionName.action"");
    DefaultActionMapper mapper = new DefaultActionMapper ();
    ActionMapping mapping = mapper.getMapping (req, configManager);
    assertEquals (""/my/namespace/actionName.action"", mapper.getUriFromActionMapping (mapping));
}"
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java:868-891,struts,test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java,868,891,24.0,2,2,1,T3,"public void testAllowedActionNames () {
    DefaultActionMapper mapper = new DefaultActionMapper ();
    String actionName = ""action"";
    assertEquals (actionName, mapper.cleanupActionName (actionName));
    actionName = ""${action}"";
    assertEquals (mapper.defaultActionName, mapper.cleanupActionName (actionName));
    actionName = ""${${%{action}}}"";
    assertEquals (mapper.defaultActionName, mapper.cleanupActionName (actionName));
    actionName = ""${#foo='action',#foo}"";
    assertEquals (mapper.defaultActionName, mapper.cleanupActionName (actionName));
    actionName = ""test-action"";
    assertEquals (""test-action"", mapper.cleanupActionName (actionName));
    actionName = ""test_action"";
    assertEquals (""test_action"", mapper.cleanupActionName (actionName));
    actionName = ""test!bar.action"";
    assertEquals (""test!bar.action"", mapper.cleanupActionName (actionName));
}"
systems/Projects/junit5-main/platform-tests/src/test/java/org/junit/platform/runner/JUnitPlatformRunnerTests.java:397-407,junit5,test/java/org/junit/platform/runner/JUnitPlatformRunnerTests.java,397,407,11.0,2,2,2,T3,"void usesStandardIncludePatternWhenIncludeClassNamePatternsAnnotationIsPresentWithoutArguments () {
    @IncludeClassNamePatterns
    class TestCase {

    }
    var request = instantiateRunnerAndCaptureGeneratedRequest (TestCase.class);
    var filters = request.getFiltersByType (ClassNameFilter.class);
    assertThat (getOnlyElement (filters).toString ()).contains (STANDARD_INCLUDE_PATTERN);
}"
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/collection/spi/PersistentCollection.java:262-271,hibernate-orm,main/java/org/hibernate/collection/spi/PersistentCollection.java,262,271,10.0,2,2,2,T3,"default boolean includeInInsert (Object entry, int entryPosition, PersistentCollection < ? > collection, PluralAttributeMapping attributeDescriptor) {
    assert collection == this;
    assert attributeDescriptor != null;
    return needsInserting (entry, entryPosition, attributeDescriptor.getCollectionDescriptor ().getElementType ());
}"
